Account Number,Account Type,Account Holder ID,Balance Date,Balance,Name,Date of Birth,Contact Number,First Line of Address,Transaction ID,Account To,Transaction Date,Value,Cancelled?
10231977,Basic,41402857,2023-01-31,61.63,Federico Cathro,13/12/1985,07283906757,12 Green Hill,4230172990.0,68315462.0,2023-02-09,1410.1,N
10232603,Gold,8882143,2023-01-31,732.55,Kizzee Puddephatt,18/10/2003,07598835878,72404 Maywood Avenue,7252109585.0,69344396.0,2023-02-02,1190.9,N
10232603,Gold,8882143,2023-01-31,732.55,Kizzee Puddephatt,18/10/2003,07598835878,72404 Maywood Avenue,9161410454.0,91972687.0,2023-02-10,1128.4,N
10243581,Gold,84620072,2023-01-31,104.27,Kalvin Duetschens,27/03/1965,07727619510,19032 Duke Parkway,7934676808.0,69664627.0,2023-02-12,1482.9,N
10553619,Basic,58583983,2023-01-31,756.2,Dud Gaunt,04/12/1983,07681115087,3 Canary Avenue,108536548.0,86207903.0,2023-02-06,1085.4,N
10553619,Basic,58583983,2023-01-31,756.2,Dud Gaunt,04/12/1983,07681115087,3 Canary Avenue,2843750091.0,20090784.0,2023-02-04,1263.9,N
10725127,Basic,34435244,2023-01-31,984.69,Adeline Oxer,22/11/1998,07810160404,97044 Meadow Vale Avenue,1066977682.0,84714323.0,2023-02-04,1268.7,N
10769769,Basic,92082288,2023-01-31,906.91,Babbette Bromby,24/05/1936,07355990194,447 Dwight Circle,1019117125.0,43623061.0,2023-02-02,1502.2,N
10799356,Gold,26582406,2023-01-31,915.04,Emmi Sinnie,29/01/1954,07304047316,76493 Jenifer Place,9497069960.0,69540137.0,2023-02-14,1314.7,N
10864084,Gold,69466662,2023-01-31,119.98,Dyana Gianullo,27/11/1988,07517614468,763 Fulton Trail,8938004112.0,49172838.0,2023-02-13,1545.5,N
11228111,Basic,13413964,2023-01-31,130.36,Shae Oxberry,05/08/1938,07802003865,9401 Village Pass,2499034262.0,28251857.0,2023-02-02,1501.3,N
11333185,Gold,12386822,2023-01-31,693.23,Tandi Aberkirdo,13/05/2001,07224213952,40 Buell Crossing,8140515736.0,88570753.0,2023-02-07,1440.9,N
