Account Number,Balance Date,Balance,Transaction Value,Flow
10005367,2023-01-31,728.25,,-
10005367,2023-02-02,1825.85,1097.6,Incoming
10005367,2023-02-04,1681.1,144.75,Outgoing
10005367,2023-02-04,1748.11,67.01,Incoming
10005367,2023-02-05,1856.37,108.26,Incoming
10005367,2023-02-08,1921.86,65.49,Incoming
10005367,2023-02-08,980.8599999999999,941.0,Outgoing
10005367,2023-02-10,1008.4699999999999,27.61,Incoming
10005367,2023-02-11,871.2199999999999,137.25,Outgoing
10011977,2023-01-31,676.54,,-
10011977,2023-02-02,727.54,51.0,Incoming
10011977,2023-02-03,606.66,120.88,Outgoing
10011977,2023-02-04,796.04,189.38,Incoming
10011977,2023-02-04,737.99,58.05,Outgoing
10011977,2023-02-04,908.55,170.56,Incoming
10011977,2023-02-05,1033.1599999999999,124.61,Incoming
10011977,2023-02-08,899.4199999999998,133.74,Outgoing
10011977,2023-02-10,1002.9699999999998,103.55,Incoming
10011977,2023-02-11,1046.86,43.89,Incoming
10011977,2023-02-14,-53.840000000000146,1100.7,Outgoing
10024680,2023-01-31,567.46,,-
10024680,2023-02-01,720.8900000000001,153.43,Incoming
10024680,2023-02-03,44.3900000000001,676.5,Outgoing
10024680,2023-02-07,136.31000000000012,91.92,Incoming
10024680,2023-02-07,263.7600000000001,127.45,Incoming
10024680,2023-02-08,401.9400000000001,138.18,Incoming
10031238,2023-01-31,576.52,,-
10031238,2023-02-05,686.5899999999999,110.07,Incoming
10031238,2023-02-05,564.8899999999999,121.7,Outgoing
10031238,2023-02-09,600.2799999999999,35.39,Incoming
10031238,2023-02-10,760.8799999999999,160.6,Incoming
10031238,2023-02-10,695.8599999999999,65.02,Outgoing
10031238,2023-02-11,853.8199999999999,157.96,Incoming
10034341,2023-01-31,390.39,,-
10034341,2023-02-03,-1176.21,1566.6,Outgoing
10034341,2023-02-05,-959.0600000000001,217.15,Incoming
10034341,2023-02-08,-848.8100000000001,110.25,Incoming
10034341,2023-02-12,-971.94,123.13,Outgoing
10034341,2023-02-14,-897.22,74.72,Incoming
10079965,2023-01-31,799.27,,-
10079965,2023-02-03,642.92,156.35,Outgoing
10079965,2023-02-08,1085.22,442.3,Incoming
10079965,2023-02-08,1149.1200000000001,63.9,Incoming
10079965,2023-02-08,1281.3200000000002,132.2,Incoming
10091076,2023-01-31,831.83,,-
10091076,2023-02-01,850.6,18.77,Incoming
10091076,2023-02-01,775.15,75.45,Outgoing
10091076,2023-02-01,859.11,83.96,Incoming
10091076,2023-02-05,805.19,53.92,Outgoing
10091076,2023-02-14,815.4100000000001,10.22,Incoming
10091076,2023-02-14,761.69,53.72,Outgoing
10231977,2023-01-31,61.63,,-
10231977,2023-02-01,-54.37,116.0,Outgoing
10231977,2023-02-08,13.940000000000005,68.31,Incoming
10231977,2023-02-09,1424.04,1410.1,Incoming
10231977,2023-02-14,2147.44,723.4,Incoming
10231977,2023-02-14,2068.52,78.92,Outgoing
10232603,2023-01-31,732.55,,-
10232603,2023-02-01,606.8699999999999,125.68,Outgoing
10232603,2023-02-02,1797.77,1190.9,Incoming
10232603,2023-02-04,2686.67,888.9,Incoming
10232603,2023-02-06,2598.4500000000003,88.22,Outgoing
10232603,2023-02-07,2783.92,185.47,Incoming
10232603,2023-02-10,2698.89,85.03,Outgoing
10232603,2023-02-10,3827.29,1128.4,Incoming
10243581,2023-01-31,104.27,,-
10243581,2023-02-04,213.92000000000002,109.65,Incoming
10243581,2023-02-06,292.85,78.93,Incoming
10243581,2023-02-10,209.55,83.3,Outgoing
10243581,2023-02-12,1692.45,1482.9,Incoming
10243581,2023-02-13,1712.6200000000001,20.17,Incoming
10243581,2023-02-14,1847.13,134.51,Incoming
10271519,2023-01-31,50.02,,-
10271519,2023-02-03,151.01,100.99,Incoming
10271519,2023-02-03,-2134.59,2285.6,Outgoing
10271519,2023-02-03,-2229.6400000000003,95.05,Outgoing
10271519,2023-02-03,-2247.2100000000005,17.57,Outgoing
10271519,2023-02-11,-2157.6600000000003,89.55,Incoming
10271519,2023-02-12,-2234.3700000000003,76.71,Outgoing
10271519,2023-02-12,-2333.1800000000003,98.81,Outgoing
10273387,2023-01-31,581.83,,-
10273387,2023-02-03,468.80000000000007,113.03,Outgoing
10273387,2023-02-03,1025.3000000000002,556.5,Incoming
10273387,2023-02-06,844.0600000000002,181.24,Outgoing
10273387,2023-02-07,882.4700000000001,38.41,Incoming
10273387,2023-02-08,1022.9200000000001,140.45,Incoming
10273387,2023-02-10,1094.03,71.11,Incoming
10273387,2023-02-10,955.23,138.8,Outgoing
10273387,2023-02-12,824.55,130.68,Outgoing
10273387,2023-02-14,546.15,278.4,Outgoing
10288821,2023-01-31,642.41,,-
10288821,2023-02-07,794.1099999999999,151.7,Incoming
10288821,2023-02-11,708.6999999999999,85.41,Outgoing
10288821,2023-02-12,480.17999999999995,228.52,Outgoing
10288821,2023-02-14,385.96999999999997,94.21,Outgoing
10295384,2023-01-31,153.85,,-
10295384,2023-02-03,143.20999999999998,10.64,Outgoing
10295384,2023-02-04,239.29999999999998,96.09,Incoming
10295384,2023-02-04,183.32,55.98,Outgoing
10295384,2023-02-06,82.97999999999999,100.34,Outgoing
10295384,2023-02-06,-4.590000000000003,87.57,Outgoing
10295384,2023-02-07,-137.68,133.09,Outgoing
10295384,2023-02-07,-323.83000000000004,186.15,Outgoing
10295384,2023-02-09,-213.82000000000005,110.01,Incoming
10295384,2023-02-11,-151.30000000000004,62.52,Incoming
10295384,2023-02-13,-279.30000000000007,128.0,Outgoing
10350324,2023-01-31,861.81,,-
10350324,2023-02-03,614.17,247.64,Outgoing
10350324,2023-02-04,566.78,47.39,Outgoing
10350324,2023-02-04,485.42999999999995,81.35,Outgoing
10350324,2023-02-07,527.6199999999999,42.19,Incoming
10350324,2023-02-10,618.6599999999999,91.04,Incoming
10350324,2023-02-11,486.46999999999986,132.19,Outgoing
10350324,2023-02-11,366.71999999999986,119.75,Outgoing
10350324,2023-02-13,509.34999999999985,142.63,Incoming
10437896,2023-01-31,661.08,,-
10437896,2023-02-04,712.9200000000001,51.84,Incoming
10437896,2023-02-04,657.6800000000001,55.24,Outgoing
10437896,2023-02-06,588.96,68.72,Outgoing
10437896,2023-02-09,472.62,116.34,Outgoing
10437896,2023-02-11,-634.4799999999999,1107.1,Outgoing
10437896,2023-02-13,-708.4499999999999,73.97,Outgoing
10449180,2023-01-31,228.24,,-
10449180,2023-02-01,179.25,48.99,Outgoing
10449180,2023-02-02,153.44,25.81,Outgoing
10449180,2023-02-06,-630.8599999999999,784.3,Outgoing
10449180,2023-02-11,-706.7399999999999,75.88,Outgoing
10464544,2023-01-31,755.99,,-
10464544,2023-02-01,845.55,89.56,Incoming
10464544,2023-02-07,709.78,135.77,Outgoing
10464544,2023-02-08,577.68,132.1,Outgoing
10464544,2023-02-12,1040.78,463.1,Incoming
10464544,2023-02-14,1122.04,81.26,Incoming
10464544,2023-02-14,134.14,987.9,Outgoing
10473116,2023-01-31,387.7,,-
10473116,2023-02-01,482.61,94.91,Incoming
10473116,2023-02-03,395.15000000000003,87.46,Outgoing
10473116,2023-02-06,1590.0500000000002,1194.9,Incoming
10473116,2023-02-08,1486.5600000000002,103.49,Outgoing
10473116,2023-02-10,1458.3300000000002,28.23,Outgoing
10473116,2023-02-12,1566.8400000000001,108.51,Incoming
10521885,2023-01-31,54.87,,-
10521885,2023-02-01,-72.53999999999999,127.41,Outgoing
10521885,2023-02-01,11.320000000000007,83.86,Incoming
10521885,2023-02-03,-109.00999999999999,120.33,Outgoing
10521885,2023-02-09,-146.14999999999998,37.14,Outgoing
